id,name,value,changePercentage,change,turnover,volume,open,high,low,updatedOn
6,Act Financial,3.18,-3.34,-0.11,6418675,2001265,3.29,3.29,3.15,10/2/2024
6,Act Financial,3.2,0.63,0.02,5607553.5,1762087,3.18,3.24,3.14,10/4/2024
6,Act Financial,3.16,-1.25,-0.04,4093600.5,1289131,3.2,3.23,3.15,10/7/2024
6,Act Financial,3.08,-0.96,-0.03,9829306,3153195,3.11,3.16,3.05,10/10/2024
6,Act Financial,3,0.33,0.01,3845879.25,1281600,2.99,3.02,2.99,10/15/2024
6,Act Financial,3.02,1,0.03,12767373,4239046,2.99,3.04,2.99,10/22/2024
7,ADCO,82.48,0,0,45231.63,550,82,82.49,81.98,8/12/2024
7,ADCO,76.02,-7.29,-5.98,5428.2,70,82,80.5,76.02,8/5/2024
7,ADCO,81,-1.22,-1,162,2,82,81,81,8/6/2024
7,ADCO,81,-1.22,-1,12167.6,152,82,81,79.1,8/7/2024
7,ADCO,81,-1.22,-1,19009,234,82,81.5,81,8/8/2024
7,ADCO,81.98,-0.02,-0.02,404.16,5,82,81.98,79.11,8/11/2024
7,ADCO,87,0,0,56868.38,664,82,87.99,80.11,8/13/2024
7,ADCO,84.5,0,0,20509.52,245,82,85.55,81.85,8/15/2024
7,ADCO,82,0,0,17017.66,207,82,84.5,81.31,8/18/2024
7,ADCO,84.85,0,0,17250.68,208,82,84.89,81.15,8/19/2024
7,ADCO,84.85,3.48,2.85,417047,5080,82,84.85,82,8/21/2024
7,ADCO,82.01,0,0,2076.17,25,82.12,84.82,81.36,8/24/2024
7,ADCO,90,9.6,7.88,364860.88,4271,82.12,90,82.12,8/25/2024
7,ADCO,91.48,6.47,5.56,303888.5,3323,85.92,92.88,84.01,8/27/2024
7,ADCO,90.39,-1.19,-1.09,17935.17,205,91.48,90.5,85.13,8/28/2024
7,ADCO,88.79,-2.94,-2.69,55884.07,636,91.48,88.79,85.63,9/8/2024
7,ADCO,89.7,-1.95,-1.78,7561.2,85,91.48,89.73,86.55,9/15/2024
7,ADCO,87,-4.9,-4.48,389117.09,4439,91.48,89.94,87,9/23/2024
7,ADCO,94,1.19,1.11,752665.69,7854,92.89,99.9,94,10/1/2024
7,ADCO,93.4,-1.48,-1.4,75034.2,816,94.8,95.5,91,10/2/2024
7,ADCO,94,0,0,260871.56,2782,94.8,95,91,10/4/2024
7,ADCO,92.52,-2.41,-2.28,145251.03,1555,94.8,98.95,92,10/7/2024
7,ADCO,93,1.04,0.96,308592.91,3242,92.04,97,91.26,10/10/2024
7,ADCO,101,-2.2,-2.27,405879.16,4002,103.27,105,100,10/15/2024
7,ADCO,105,3.29,3.34,346275.03,3308,101.66,105.01,101,10/22/2024
8,Advanced Pharmaceuti,0.97,7.78,0.07,43674.34,45062,0.9,1.02,0.9,8/12/2024
8,Advanced Pharmaceuti,0.85,-9.57,-0.09,55500.25,64906,0.94,0.94,0.83,8/5/2024
8,Advanced Pharmaceuti,0.9,5.88,0.05,13517.5,15050,0.85,0.9,0.85,8/7/2024
8,Advanced Pharmaceuti,1.03,-1.9,-0.02,151022.58,145386,1.05,1.05,0.95,8/19/2024
8,Advanced Pharmaceuti,1.05,1.94,0.02,38518.8,35710,1.03,1.12,1.03,8/21/2024
8,Advanced Pharmaceuti,0.9,-14.29,-0.15,5508.54,5630,1.05,1.06,0.9,8/27/2024
8,Advanced Pharmaceuti,0.96,6.67,0.06,10442.05,10836,0.9,1.05,0.92,8/28/2024
8,Advanced Pharmaceuti,1.11,12.12,0.12,156409.91,142794,0.99,1.11,1,9/23/2024
8,Advanced Pharmaceuti,1.05,-4.54,-0.05,6388.85,5857,1.1,1.25,1.05,10/2/2024
8,Advanced Pharmaceuti,1.19,13.33,0.14,24451.28,20998,1.05,1.19,1.05,10/7/2024
9,AELOAD,0.81,4.95,0.04,302888.34,375792,0.77,0.81,0.81,8/12/2024
9,AELOAD,0.67,4.89,0.03,2024404.5,3044297,0.63,0.67,0.64,8/5/2024
9,AELOAD,0.7,4.96,0.03,335215.91,480252,0.67,0.7,0.7,8/6/2024
9,AELOAD,0.73,4.87,0.03,526992.44,719935,0.7,0.73,0.73,8/7/2024
9,AELOAD,0.77,4.92,0.04,424677.88,552966,0.73,0.77,0.77,8/8/2024
9,AELOAD,0.81,4.95,0.04,114497.13,142056,0.77,0.81,0.81,8/11/2024
9,AELOAD,0.85,4.96,0.04,3721939.5,4402611,0.81,0.85,0.81,8/13/2024
9,AELOAD,0.82,2.36,0.02,1567363.12,1955258,0.81,0.84,0.77,8/15/2024
9,AELOAD,0.81,-1.58,-0.01,979094.06,1187112,0.82,0.85,0.8,8/18/2024
9,AELOAD,0.8,-1.48,-0.01,432977.22,541036,0.81,0.83,0.79,8/19/2024
9,AELOAD,0.84,5,0.04,3046221.25,3871434,0.8,0.84,0.76,8/20/2024
9,AELOAD,0.88,5,0.04,1972499.5,2236394,0.84,0.88,0.88,8/21/2024
9,AELOAD,0.93,4.99,0.04,1516706.25,1644206,0.88,0.93,0.88,8/24/2024
9,AELOAD,0.97,4.97,0.05,2636220.75,2714864,0.93,0.97,0.93,8/25/2024
9,AELOAD,1.02,4.94,0.05,3752875.5,3704850,0.97,1.02,0.97,8/27/2024
9,AELOAD,1.03,-3.12,-0.03,1930204,1893087,1.06,1.07,1.01,8/28/2024
9,AELOAD,0.9,-4.67,-0.04,615763.94,678430,0.94,0.94,0.9,9/8/2024
9,AELOAD,0.8,-3.85,-0.03,428811.53,530479,0.83,0.83,0.8,9/15/2024
9,AELOAD,0.81,-1.1,-0.01,608573.19,754972,0.81,0.82,0.8,9/23/2024
9,AELOAD,0.78,-0.13,0,329036.44,423495,0.78,0.79,0.77,10/1/2024
9,AELOAD,0.76,-2.7,-0.02,533906.75,694194,0.78,0.79,0.74,10/2/2024
9,AELOAD,0.78,0,0,296306.19,386367,0.76,0.78,0.74,10/4/2024
9,AELOAD,0.77,0.66,0.01,249140.38,321520,0.76,0.79,0.76,10/7/2024
9,AELOAD,0.72,-3.75,-0.03,827163.19,1161654,0.75,0.74,0.71,10/10/2024
9,AELOAD,0.66,-3.25,-0.02,976567.69,1504077,0.68,0.68,0.64,10/15/2024
9,AELOAD,0.64,-2.29,-0.01,629060.44,986865,0.66,0.66,0.62,10/22/2024
10,Ajwa,62.37,-2.68,-1.72,7101811.5,114025,64.09,64.99,60,8/12/2024
10,Ajwa,62.72,-3.58,-2.33,7674449.5,124385,65.05,65,59.61,8/5/2024
10,Ajwa,62.99,0.43,0.27,1929961,30585,62.72,65,62.11,8/6/2024
10,Ajwa,64.23,2.39,1.5,2308355.5,36057,62.73,64.85,62.55,8/7/2024
10,Ajwa,63.5,-1.14,-0.73,5949136.5,93287,64.23,65.01,63.03,8/8/2024
10,Ajwa,63.21,-0.63,-0.4,5252598.5,81889,63.61,65.5,63,8/11/2024
10,Ajwa,63.11,1.19,0.74,3009403.25,47903,62.37,64,62,8/13/2024
10,Ajwa,63.5,-0.5,-0.32,8742630,137498,63.82,64.87,61.1,8/15/2024
10,Ajwa,63.69,0.3,0.19,5658311.5,88756,63.5,66,63.5,8/18/2024
10,Ajwa,64.13,0.69,0.44,3853054.25,60476,63.69,64.4,63,8/19/2024
10,Ajwa,65.01,1.37,0.88,5700291.5,88080,64.13,65.24,63.5,8/20/2024
10,Ajwa,65,-0.02,-0.01,11466098,174748,65.01,67.4,64.75,8/21/2024
10,Ajwa,65.02,0.02,0.01,7564118.5,116120,65,66,64.31,8/24/2024
10,Ajwa,66.02,1.55,1.01,5550296.5,84167,65.01,66.79,64.32,8/25/2024
10,Ajwa,72,9.06,5.98,81038736,1115133,66.02,75.97,66.65,8/27/2024
10,Ajwa,71.06,-1.69,-1.22,10500339,147027,72.28,73.92,70.15,8/28/2024
10,Ajwa,71.03,-0.25,-0.18,22549602,314066,71.21,73.4,70.8,9/8/2024
10,Ajwa,66.54,-1.31,-0.88,7510643.5,111446,67.42,68.7,66.5,9/15/2024
10,Ajwa,67.48,0.25,0.17,12518906,183974,67.31,69,67.26,9/23/2024
10,Ajwa,67.04,-0.71,-0.48,7328805,108883,67.52,68.1,67,10/1/2024
10,Ajwa,64.64,-3.58,-2.4,13201013,201795,67.04,67.04,64.5,10/2/2024
10,Ajwa,64.89,0.39,0.25,6555429.5,100841,64.64,65.85,64.64,10/4/2024
10,Ajwa,63.15,-2.68,-1.74,7527594.5,117428,64.89,65,63.1,10/7/2024
10,Ajwa,63.16,1.46,0.91,9742521,153380,62.25,64.95,62.25,10/10/2024
10,Ajwa,61.09,0.11,0.07,2409328.25,39376,61.02,61.5,61.01,10/15/2024
10,Ajwa,62.36,1.56,0.96,5705073,91285,61.4,63.29,61.2,10/22/2024
11,Al Ahly for Developm,28.36,1.07,0.3,19231298,667884,28.06,29.44,28.06,8/12/2024
11,Al Ahly for Developm,26.39,-5.75,-1.61,11690815,442787,28,27.6,25,8/5/2024
11,Al Ahly for Developm,26.9,1.93,0.51,7552986,279166,26.39,28,26.65,8/6/2024
11,Al Ahly for Developm,27.86,3.57,0.96,10181648,371617,26.9,27.9,26.74,8/7/2024
11,Al Ahly for Developm,27.74,-0.43,-0.12,12806760,455285,27.86,28.89,27.2,8/8/2024
11,Al Ahly for Developm,28.06,1.15,0.32,5845116.5,208132,27.74,28.45,27.85,8/11/2024
11,Al Ahly for Developm,27.7,-2.33,-0.66,5671553,200923,28.36,28.75,27.61,8/13/2024
11,Al Ahly for Developm,28,0.76,0.21,16666528,582469,27.79,29.3,28,8/15/2024
11,Al Ahly for Developm,28.03,0.11,0.03,6785459.5,240040,28,28.65,28.01,8/18/2024
11,Al Ahly for Developm,28.4,1.32,0.37,17310988,603357,28.03,29.15,28.1,8/19/2024
11,Al Ahly for Developm,29.49,3.84,1.09,16176223,554539,28.4,29.49,28.8,8/20/2024
11,Al Ahly for Developm,29.33,-0.54,-0.16,26390222,879232,29.49,30.49,29.01,8/21/2024
11,Al Ahly for Developm,29.06,-0.92,-0.27,13213069,451359,29.33,29.95,29,8/24/2024
11,Al Ahly for Developm,29.75,2.37,0.69,18081072,614352,29.06,29.75,29.01,8/25/2024
11,Al Ahly for Developm,30.8,3.53,1.05,57149824,1856272,29.75,31.5,30.21,8/27/2024
11,Al Ahly for Developm,31.2,2.09,0.64,27560438,886988,30.56,31.43,30.49,8/28/2024
11,Al Ahly for Developm,31.5,-2.63,-0.85,19575098,615322,32.35,32.59,31.13,9/8/2024
11,Al Ahly for Developm,31.16,0.32,0.1,4371825,139907,31.06,31.6,31.05,9/15/2024
11,Al Ahly for Developm,32.11,-1.08,-0.35,16434513,508845,32.46,32.88,32.03,9/23/2024
11,Al Ahly for Developm,32.42,-0.49,-0.16,11997058,366759,32.58,33.25,32.3,10/1/2024
11,Al Ahly for Developm,31.53,-2.75,-0.89,11543623,359892,32.42,32.51,31.52,10/2/2024
11,Al Ahly for Developm,31.44,-0.29,-0.09,5897102,186675,31.53,32,31.4,10/4/2024
11,Al Ahly for Developm,31.57,0.41,0.13,11519677,363422,31.44,32.5,31.25,10/7/2024
11,Al Ahly for Developm,33.42,4.44,1.42,81616664,2408844,32,34.59,32.45,10/10/2024
11,Al Ahly for Developm,32.3,1.99,0.63,10129941,313832,31.67,32.7,31.84,10/15/2024
11,Al Ahly for Developm,35.21,-0.25,-0.09,41051904,1144136,35.3,36.8,35.2,10/22/2024
12,Al Baraka Bank,10.88,0.65,0.07,2547860.5,236046,10.7,10.97,10.54,8/12/2024
12,Al Baraka Bank,10.17,-3.14,-0.33,5462567.5,541519,10.5,10.45,10,8/5/2024
12,Al Baraka Bank,10.2,1.29,0.13,1175800.25,115174,10.07,10.29,10.16,8/6/2024
12,Al Baraka Bank,10.39,1.86,0.19,1574361,153169,10.2,10.5,10.21,8/7/2024
12,Al Baraka Bank,10.5,1.06,0.11,1033748,100037,10.39,10.5,10.27,8/8/2024
12,Al Baraka Bank,10.8,4.05,0.42,893190.25,84577,10.38,10.8,10.36,8/11/2024
12,Al Baraka Bank,10.71,-0.37,-0.04,2098687.5,193170,10.77,10.97,10.65,8/13/2024
12,Al Baraka Bank,10.64,-0.84,-0.09,976643.38,91478,10.73,10.8,10.61,8/15/2024
12,Al Baraka Bank,10.6,-0.47,-0.05,1458949.88,137296,10.64,10.8,10.55,8/18/2024
12,Al Baraka Bank,10.68,0.85,0.09,1445131.13,135976,10.59,10.72,10.52,8/19/2024
12,Al Baraka Bank,10.98,2.81,0.3,2851191.5,262091,10.68,11,10.61,8/20/2024
12,Al Baraka Bank,11.32,3.1,0.34,12658808,1121828,10.98,11.7,10.99,8/21/2024
